,Publication number,Category,Publication number.1,Category.1,Publication number.2,Category.2,Publication number.3,Category.3
1,US9040302B2,Non-Alcohol,US9012694B2,Alcohol,US9277674B2,Non-Autonomous Vehicles,US9646356B1,Autonomous Vehicles
2,US9040109B2,,US9012188B2,,US9277385B2,,US9645576B2,
3,US9040107B2,,US9010952B2,,US9277311B2,,US9622452B2,
4,US9040036B2,,US8987530B2,,US9277191B2,,US9599482B2,
5,US9038991B2,,US8981165B2,,US9276431B2,,US9598078B2,
6,US9034404B2,,US8980599B2,,US9276299B2,,US9586661B1,
7,US9034402B2,,US8980595B2,,US9276265B2,,US20170088145A1,
8,US9033315B2,,US8968805B2,,US9275546B2,,US9532545B2,
9,US9028904B2,,US8967407B2,,US9275505B2,,US9517821B2,
10,US9028896B2,,US20150096697A1,,US9275502B2,,US9483948B1,
11,US9028886B2,,US8940129B2,,US9275501B2,,US9481367B1,
12,US9027472B2,,US8932845B2,,US9275458B2,,US9481366B1,
13,US9027463B2,,US8931396B2,,US9275417B2,,US9475193B2,
14,US9023616B2,,US20150125906A1,,US9275391B2,,US9449142B2,
15,US20150125253A1,,US20150141704A1,,US9275274B2,,US9389611B2,
16,US9017741B2,,US20150141358A1,,US9275008B2,,US9377315B2,
17,US9016196B2,,US20150133698A1,,US9274786B2,,US20160257311A1,
18,US9014846B2,,US20150128809A1,,US9274540B2,,US9360867B2,
19,US9012510B2,,US20150119559A1,,US9274213B2,,US9258942B2,
20,US9012509B2,,US20150109143A1,,US9274157B2,,US9254870B2,
21,US9011948B2,,EP2860334A2,,US9273713B2,,US9239959B1,
22,US9010577B2,,US20150083880A1,,US9273617B2,,US20170137078A1,
23,US9005687B2,,US20150079255A1,,US9273603B2,,US20170132708A1,
24,US9005682B2,,US20150075738A1,,US9273592B2,,CN106671979A,
25,US9005190B2,,US20150072044A1,,US9272854B2,,US20170124658A1,
26,US9004744B1,,US20150059872A1,,US9272744B1,,US20170113768A1,
27,US8999645B2,,US20150053622A1,,US9272738B2,,US20170113689A1,
28,US8999424B2,,US20150052790A1,,US9272725B2,,US20170113687A1,
29,US8997633B2,,US20150051064A1,,US9272724B2,,US20170106976A1,
30,US8996178B2,,US20150046471A1,,US9272714B2,,US20170106876A1,
31,US8993033B2,,EP2865278A1,,US9272712B2,,CN106570451A,
32,US8993032B2,,EP2862624A1,,US9272710B2,,US20170088242A1,
33,US8993024B2,,EP2861064A1,,US9272704B2,,US20170075358A1,
34,US8993017B2,,EP2753750A4,,US9272702B2,,CN106485340A,
35,US8993016B2,,EP2723939A4,,US9272701B2,,US20170057516A1,
36,US8993005B2,,EP2850374A2,,US9272696B2,,US20170057507A1,
37,US8986773B2,,EP2845641A1,,US9272689B2,,US20170050638A1,
38,US8986766B2,,EP2844108A1,,US9272688B2,,US20170046883A1,
39,US8986762B2,,EP2511857A3,,US9272678B2,,EP3080672A2,
40,US8986760B2,,EP2841555A1,,US9272670B2,,CN106170370A,
41,US8986682B2,,EP2726671A4,,US9272667B2,,EP2869688A4,
42,US8980352B2,,EP2829610A1,,US9272666B2,,EP2966528A1,
43,US8980350B2,,WO2015038215A1,,US9272664B2,,WO2017085132A1,
44,US8980348B2,,WO2014193218A9,,US9272659B1,,WO2017077073A1,
45,US8978928B2,,WO2015064779A1,,US9272651B1,,WO2017057528A1,
46,US8974840B2,,WO2015064748A1,,US9272650B2,,WO2017036640A1,
47,US8969523B2,,WO2015060008A1,,US9272645B2,,WO2017025032A1,
48,US8962700B2,,WO2015058556A1,,US9272636B2,,WO2017024677A1,
49,US8962678B2,,WO2015035423A3,,US9272631B2,,WO2016207627A3,
50,US8962052B2,,WO2015055977A1,,US9272629B2,,WO2017013840A1,
51,US8960999B1,,WO2015055341A1,,US9272628B2,,WO2017010698A1,
52,US8960500B2,,WO2015049353A1,,US9272626B2,,WO2017002093A1,
53,US8960084B2,,WO2015001243A3,,US9272625B2,,WO2016201670A1,
54,US8960077B2,,WO2015034601A1,,US9272624B2,,WO2016186383A1,
55,US8957109B2,,WO2015032850A1,,US9272613B2,,WO2016186382A1,
56,US8956670B2,,WO2014202223A3,,US9272604B2,,WO2016186381A1,
57,US8951980B2,,WO2015028464A1,,US9272589B2,,WO2016186380A1,
58,US8950318B2,,WO2015021823A1,,US9272585B2,,WO2016186379A1,
59,US8945656B2,,CN104651348A,,US9272496B2,,WO2016185185A1,
60,US8945655B2,,CN104651214A,,US9272064B2,,WO2016165721A1,
61,US8945645B2,,CN104651197A,,US9271219B2,,WO2016145544A1,
62,US20150110931A1,,CN104651196A,,US9271073B2,,WO2016087998A3,
63,US8943952B2,,CN104651195A,,US9270407B2,,CN106794874A,
64,US8940353B2,,CN104651194A,,US9270153B2,,WO2015199789A3,
65,US8939070B2,,CN104651193A,,US9270018B2,,CN106537273A,
66,US20150132383A1,,CN104651192A,,US9269936B2,,WO2016010288A1,
67,US8936818B2,,CN104651191A,,US9269861B2,,CN106781648A,
68,US8936783B2,,CN104651188A,,US9269268B2,,CN106774366A,
69,US8932841B2,,CN104651187A,,US9269267B2,,CN106774343A,
70,US8932647B1,,CN104651184A,,US9269263B2,,CN106774306A,
71,US8932549B2,,CN104651183A,,US9269204B2,,CN106773647A,
72,US8931398B2,,CN104651182A,,US9269169B2,,CN106772631A,
73,US20150086491A1,,CN104651181A,,US9268740B2,,CN106772434A,
74,US8926960B2,,CN104651180A,,US9267809B2,,CN106772313A,
75,US20150147452A1,,CN104651179A,,US9267659B2,,CN106769085A,
76,US20150147438A1,,CN104651178A,,WO2016023107A1,,CN106769080A,
77,US20150147430A1,,CN104651176A,,WO2015078696A3,,CN106767853A,
78,US20150143832A1,,CN104651175A,,WO2016022840A1,,CN106767834A,
79,US20150141712A1,,CN104651174A,,WO2016022479A1,,CN106767793A,
80,US20150136638A1,,CN104651173A,,WO2016021961A1,,CN106764786A,
81,US20150132467A1,,CN104651170A,,WO2016021698A1,,CN106741754A,
82,US20150132440A1,,CN104651169A,,WO2016021622A1,,CN106741299A,
83,US20150132270A1,,CN104651168A,,WO2016021469A1,,CN106740916A,
84,US20150125587A1,,CN104651167A,,WO2016021340A1,,CN106740858A,
85,US20150125571A1,,CN104651166A,,WO2016021326A1,,CN106740788A,
86,US20150125503A1,,CN104651164A,,WO2016021297A1,,CN106740700A,
87,US20150110943A1,,CN104651163A,,WO2016021136A1,,CN106740649A,
88,US20150110926A1,,CN104651162A,,WO2016021126A1,,CN106740603A,
89,US20150110838A1,,CN104651159A,,WO2016021102A1,,CN106740526A,
90,US20150109876A1,,CN104651158A,,WO2016021077A1,,CN106740485A,
91,US20150104545A1,,US9981171B2,,WO2016021059A1,,CN106740346A,
92,US20150104540A1,,US9980588B2,,WO2016021007A1,,CN106740328A,
93,US20150099273A1,,US9975839B2,,WO2016020847A1,,CN106737561A,
94,US20150099048A1,,US9969962B2,,WO2016020600A1,,CN106737558A,
95,US20150099037A1,,US9969921B2,,WO2016020597A1,,CN106737551A,
96,US20150098929A1,,US9963286B2,,WO2016020591A1,,CN106737092A,
97,US20150094355A1,,US9962623B2,,WO2016020517A1,,CN106736125A,
98,US20150064158A1,,US9957095B2,,WO2016020512A1,,CN106736054A,
99,US20150064151A1,,US9944891B2,,WO2016020505A1,,CN106734830A,
100,US20150064112A1,,US9938664B2,,WO2016020420A1,,CN106730891A,
101,US20150060482A1,,US9938491B2,,WO2016020417A1,,CN106724134A,
102,US20150051143A1,,US9938131B2,,WO2016020357A1,,CN106710028A,
103,US20150050413A1,,US9938129B2,,WO2016020251A1,,CN106706341A,
104,US20150050409A1,,US20180147154A1,,WO2016020203A1,,CN106706334A,
105,US20150044351A1,,US9914829B2,,WO2016020195A1,,CN106705975A,
106,US20150044343A1,,US9902816B2,,WO2016020193A1,,CN106696914A,
107,US20150044330A1,,US9890031B2,,WO2016020117A1,,CN106693802A,
108,US20150044302A1,,US9873097B1,,WO2016020092A1,,CN106690418A,
109,US20150043302A1,,US9861558B2,,WO2016020037A1,,CN106687352A,
110,US20150038589A1,,US9857237B2,,WO2016020036A1,,CN106677000A,
111,US20150037461A1,,US9840687B2,,WO2016019705A1,,CN106671982A,
112,US20150037460A1,,US9828231B2,,WO2016019510A1,,CN106647738A,
113,US20150033958A1,,US9816062B2,,WO2015075668A8,,CN106644388A,
114,US20150031096A1,,US9808004B2,,WO2016018999A1,,CN106627613A,
115,US20150030775A1,,US9802805B2,,WO2016018320A1,,CN106627512A,
